RD=0.75,,RD=1,,RD=1.5,,RD=2,,RD=3,,RD=4,
Re,K,Re,K,Re,K,Re,K,Re,K,Re,K
153406.7077,0.463303114,144834.2765,0.339440481,152922.9538,0.24496187,153980.1139,0.196894943,10075.89049,0.916214707,144246.5143,0.150261889
181099.4439,0.423694462,171961.313,0.306157009,181002.5505,0.211823197,182249.0288,0.169788838,13260.5553,0.808970596,163010.1831,0.134714247
213791.229,0.387974187,204169.1641,0.275891445,214238.1016,0.183771742,215707.7797,0.146450746,17451.79019,0.719995812,184214.6406,0.120063368
252384.4835,0.357263842,242409.4514,0.249620251,253576.3392,0.162039524,255309.1588,0.127878328,22967.73958,0.643003085,208177.3861,0.106794024
297944.5312,0.33192705,287812.0328,0.227720806,300137.8343,0.146330284,302180.8793,0.114002984,30227.1031,0.559452466,235257.2191,0.095200479
351729.0066,0.311725005,341718.3849,0.210073238,355248.9157,0.13553477,357657.6895,0.104118228,39780.91788,0.488579434,265859.6122,0.085385128
415222.5704,0.296051024,405721.2391,0.196235958,420479.4521,0.128371359,423319.3812,0.097312494,52354.38612,0.419136347,300442.7821,0.077294387
490177.892,0.284145903,481711.6408,0.185617299,497687.5701,0.123727882,501035.7775,0.092736019,68901.92315,0.34207303,339524.5505,0.070770887
578664.0296,0.275248564,571934.8224,0.177602403,589072.5842,0.120763336,593019.9784,0.089707249,90679.60423,0.279450163,383690.0975,0.065604056
683123.5448,0.2686792,679056.5421,0.171628094,697237.6452,0.11888902,701891.383,0.087723858,119340.5096,0.217483511,433600.7241,0.061569284
806439.9264,0.263871977,806241.8467,0.167216281,825263.8927,0.117711285,830750.2807,0.086434013,157060.2051,0.169871606,490003.7534,0.05845323
952017.1862,0.260377247,957248.5869,0.163980758,976798.2226,0.116974117,983266.1372,0.085598977,206701.8828,0.130719754,553743.721,0.05606722
1123873.823,0.257848775,1136538.448,0.161619909,1156157.171,0.116513828,1163782.088,0.085059962,272033.6975,0.102406045,625775.0198,0.054252167
1326753.747,0.256025718,1349408.776,0.159903649,1368449.874,0.11622686,1377438.618,0.084712685,358014.797,0.082525487,707176.1911,0.052878326
1566257.235,0.254714549,1602149.093,0.158659343,1619723.602,0.116048118,1630319.941,0.084489213,471171.7557,0.071355717,799166.0731,0.051842373
1848995.513,0.253773228,1902226.933,0.157758969,1917136.02,0.115936852,1929627.264,0.084345522,620093.9884,0.067386246,903122.0514,0.051063433
2182773.258,0.253098301,2258508.475,0.157108384,2269159.082,0.115867615,2283883.846,0.084253177,816085.7475,0.064065882,1020600.683,0.050478999
2576804.033,0.252614825,2681520.508,0.156638769,2685820.351,0.115824541,2703177.717,0.084193848,1074024.196,0.06302725,1153361.001,0.050041208
3041964.621,0.252268723,3183761.458,0.156300036,3178988.647,0.115797747,3199448.948,0.08415574,1413488.689,0.063197881,1303390.858,0.049713661
