Type,Pump,,,,
Description,D35e,,,,
Values,N,Q,Pressure,,
Units,rpm,m^3/s,bar,,
,,,,,
DATA,,,,,
N,Q,Pressure,N,Q,Pressure
100,0.000190584,17,100,0.000170164,83
105,0.000200523,17,105,0.000179476,83
110,0.000210462,17,110,0.000188787,83
115,0.000220402,17,115,0.000198099,83
120,0.000230341,17,120,0.000207411,83
125,0.00024028,17,125,0.000216723,83
130,0.00025022,17,130,0.000226035,83
135,0.000260159,17,135,0.000235347,83
140,0.000270098,17,140,0.000244659,83
145,0.000280038,17,145,0.00025397,83
150,0.000289977,17,150,0.000263282,83
155,0.000299916,17,155,0.000272594,83
160,0.000309856,17,160,0.000281906,83
165,0.000319795,17,165,0.000291218,83
170,0.000329734,17,170,0.00030053,83
175,0.000339673,17,175,0.000309841,83
180,0.000349613,17,180,0.000319153,83
185,0.000359552,17,185,0.000328465,83
190,0.000369491,17,190,0.000337777,83
195,0.000379431,17,195,0.000347089,83
200,0.00038937,17,200,0.000356401,83
205,0.000399309,17,205,0.000365713,83
210,0.000409249,17,210,0.000375024,83
215,0.000419188,17,215,0.000384336,83
220,0.000429127,17,220,0.000393648,83
225,0.000439067,17,225,0.00040296,83
230,0.000449006,17,230,0.000412272,83
235,0.000458945,17,235,0.000421584,83
240,0.000468885,17,240,0.000430895,83
245,0.000478824,17,245,0.000440207,83
250,0.000488763,17,250,0.000449519,83
255,0.000498703,17,255,0.000458831,83
260,0.000508642,17,260,0.000468143,83
265,0.000518581,17,265,0.000477455,83
270,0.000528521,17,270,0.000486767,83
275,0.00053846,17,275,0.000496078,83
280,0.000548399,17,280,0.00050539,83
285,0.000558339,17,285,0.000514702,83
290,0.000568278,17,290,0.000524014,83
295,0.000578217,17,295,0.000533326,83
300,0.000588157,17,300,0.000542638,83
305,0.000598096,17,305,0.000551949,83
310,0.000608035,17,310,0.000561261,83
315,0.000617975,17,315,0.000570573,83
320,0.000627914,17,320,0.000579885,83
325,0.000637853,17,325,0.000589197,83
330,0.000647793,17,330,0.000598509,83
335,0.000657732,17,335,0.000607821,83
340,0.000667671,17,340,0.000617132,83
345,0.000677611,17,345,0.000626444,83
350,0.00068755,17,350,0.000635756,83
355,0.000697489,17,355,0.000645068,83
360,0.000707429,17,360,0.00065438,83
365,0.000717368,17,365,0.000663692,83
370,0.000727307,17,370,0.000673003,83
375,0.000737247,17,375,0.000682315,83
380,0.000747186,17,380,0.000691627,83
385,0.000757125,17,385,0.000700939,83
390,0.000767065,17,390,0.000710251,83
395,0.000777004,17,395,0.000719563,83
400,0.000786943,17,400,0.000728875,83
405,0.000796882,17,405,0.000738186,83
410,0.000806822,17,410,0.000747498,83
415,0.000816761,17,415,0.00075681,83
420,0.0008267,17,420,0.000766122,83
425,0.00083664,17,425,0.000775434,83
430,0.000846579,17,430,0.000784746,83
435,0.000856518,17,435,0.000794057,83
440,0.000866458,17,440,0.000803369,83
445,0.000876397,17,445,0.000812681,83
450,0.000886336,17,450,0.000821993,83
455,0.000896276,17,455,0.000831305,83
460,0.000906215,17,460,0.000840617,83
465,0.000916154,17,465,0.000849929,83
470,0.000926094,17,470,0.00085924,83
475,0.000936033,17,475,0.000868552,83
480,0.000945972,17,480,0.000877864,83
485,0.000955912,17,485,0.000887176,83
490,0.000965851,17,490,0.000896488,83
495,0.00097579,17,495,0.0009058,83
500,0.00098573,17,500,0.000915111,83
505,0.000995669,17,505,0.000924423,83
510,0.001005608,17,510,0.000933735,83
515,0.001015548,17,515,0.000943047,83
520,0.001025487,17,520,0.000952359,83
525,0.001035426,17,525,0.000961671,83
530,0.001045366,17,530,0.000970983,83
535,0.001055305,17,535,0.000980294,83
540,0.001065244,17,540,0.000989606,83
545,0.001075184,17,545,0.000998918,83
550,0.001085123,17,550,0.00100823,83
555,0.001095062,17,555,0.001017542,83
560,0.001105002,17,560,0.001026854,83
565,0.001114941,17,565,0.001036165,83
570,0.00112488,17,570,0.001045477,83
575,0.00113482,17,575,0.001054789,83
580,0.001144759,17,580,0.001064101,83
585,0.001154698,17,585,0.001073413,83
590,0.001164638,17,590,0.001082725,83
595,0.001174577,17,595,0.001092037,83
600,0.001184516,17,600,0.001101348,83
605,0.001194456,17,605,0.00111066,83
610,0.001204395,17,610,0.001119972,83
615,0.001214334,17,615,0.001129284,83
620,0.001224274,17,620,0.001138596,83
625,0.001234213,17,625,0.001147908,83
630,0.001244152,17,630,0.001157219,83
635,0.001254092,17,635,0.001166531,83
640,0.001264031,17,640,0.001175843,83
645,0.00127397,17,645,0.001185155,83
650,0.001283909,17,650,0.001194467,83
655,0.001293849,17,655,0.001203779,83
660,0.001303788,17,660,0.001213091,83
665,0.001313727,17,665,0.001222402,83
670,0.001323667,17,670,0.001231714,83
675,0.001333606,17,675,0.001241026,83
680,0.001343545,17,680,0.001250338,83
